ID,Age,Height,Weight,Position,PreferredFoot,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Prospect
TRAIN_0000,1,0.5,0.66,0.0714285714,1,0.5,0.5,0.435490512,0.169019814,0.392857577,0.419357242,0.727274821,0.666663099,0.567575603,0.24176,0.783781855,0.527776177,0.188237582,0.517242109,0.285711327,0.195124628,0.563378449,0.592587709,0.493831335,0.625003844,0.493332252,0.499994483,0.527025247,0.472968532,0.677420494,0.662501898,0.666666667,0.216871764,0.63636464,0.696208172,0.523254162,0.369863644,0.520003669,0.565214776,0.746834302,0.763155786,0.71053097,0.0675696567,0.0548007956,0,0.0540495033,0.0666690133,0.450709439,0.485717388,0.485297241,0.485297241,0.485297241,0.485717388,0.492533638,0.529414965,0.529409239,0.529414965,0.687500693,0.656246924,0.687500693,0.703124829,0.723077605,0.703124829,0.0746268657,0
TRAIN_0001,1,0,0.52,1,0,1,0.5,0.741939792,0.732394215,0.517856059,0.629035864,0.303033095,0.666663099,0.527036187,0.76923,0.729733265,0.555558117,0.67058679,0.758621054,0.666666667,0.560975074,0.464791065,0.604937865,0.864197151,0.737497566,0.693334279,0.706891034,0.878378789,0.689189467,0.677420494,0.737498102,0.727274683,0.795182491,0.415584846,0.392405204,0.767447453,0.671238709,0.986675687,0.666666667,0.303794331,0.368419245,0.302632742,0.108109072,0.095895365,0.0434690863,0.040543141,0.119997184,0.718311742,0.728570653,0.750002794,0.750002794,0.750002794,0.728570653,0.731345288,0.705882993,0.632349626,0.705882993,0.5781276,0.484375854,0.5781276,0.546872437,0.461541018,0.546872437,0.119402985,0
TRAIN_0002,0.4,0.113636364,0.22,0.714285714,1,0.5,0.5,0.612909688,0.295779322,0.482143941,0.419357242,0.560604316,0.473679141,0.68919385,0.40659,0.608115018,0.569449088,0.22352893,0.540231587,0.345233656,0.475606678,0.577469121,0.580248541,0.69136182,0.700003075,0.613331442,0.206896552,0.608106054,0.297294799,0.596778561,0.662501898,0.424245358,0.4457873,0.441559588,0.518992559,0.604651925,0.410965997,0.466672018,0.376805841,0.556960029,0.671050975,0.631581856,0.0540604821,0.0684949672,0.130433636,0.0810742549,0.0799981227,0.464785112,0.557146735,0.514702759,0.514702759,0.514702759,0.557146735,0.537309423,0.573531972,0.529409239,0.573531972,0.640618586,0.562502051,0.640618586,0.64061731,0.553844791,0.64061731,0.0597014925,0
TRAIN_0003,0.8,0.681818182,0.46,0.0714285714,1,0.5,0.5,0.451616493,0.0563363698,0.0535742474,0.032254974,0.530307916,0.438598932,0.216218145,0.16484,0.513515121,0.236111912,0.270590884,0.195399989,0.273811003,0.243900297,0.169017084,0.271604531,0.567906548,0.587499103,0.320001216,0.293097931,0.43243435,0.216210665,0.58064782,0.550002531,0.439391983,0.240969791,0.441559588,0.594940516,0.232552547,0.178091019,0.373333028,0.318838488,0.582274345,0.565793239,0.552632742,0.108109072,0.0548007956,0.0724572695,0.0675678926,0.119997184,0.239440674,0.242853265,0.235288858,0.235288858,0.235288858,0.242853265,0.223878926,0.25,0.250002684,0.25,0.45312344,0.406249658,0.45312344,0.499994531,0.507687366,0.499994531,0.0746268657,0
TRAIN_0004,1,0.477272727,0.56,1,1,1,0.5,0.838717934,0.732394215,0.660716671,0.741938918,0.151516547,0.631572188,0.797302922,0.79121,0.729733265,0.694444765,0.741179722,0.793105272,0.5,0.731711868,0.535208935,0.790124271,0.938272364,0.812496797,0.840004459,0.724137931,0.662166682,0.689189467,0.225806831,0.712499367,0.651509284,0.795182491,0.597408045,0.164550194,0.8604641,0.657534089,0.786673394,0.695644329,0.278480014,0.171056698,0.0921017728,0.0810788313,0.0410945693,0.115939544,0.121617396,0.0133291093,0.788731236,0.828576082,0.838241704,0.838241704,0.838241704,0.828576082,0.820896859,0.823531972,0.676471535,0.823531972,0.5781276,0.46874624,0.5781276,0.515624146,0.369226168,0.515624146,0.104477612,0
TRAIN_0005,0.4,0.386363636,0.48,0.428571429,0,0.5,0.5,0.483879584,0.0704231383,0.107148495,0.290326701,0.469692084,0.456139037,0.445945464,0.20879,0.432436289,0.152777618,0.199997953,0.517242109,0.30952233,0.268299108,0.154938242,0.271604531,0.64198176,0.562499359,0.57333509,0.379310345,0.662166682,0.0540526662,0.467744404,0.524993672,0.424245358,0.240969791,0.571433302,0.582275097,0.453486211,0.287670445,0.426664679,0.304343642,0.455691497,0.539475944,0.592101773,0.0405394156,0.0684949672,0.086951361,0.0135063623,0.026669952,0.281688258,0.371423918,0.338236116,0.338236116,0.338236116,0.371423918,0.328363221,0.367648979,0.294113858,0.367648979,0.48437448,0.390620044,0.48437448,0.499994531,0.476926826,0.499994531,0.0447761194,0
TRAIN_0006,0.8,0.818181818,0.66,0.357142857,1,0.5,0.5,0.322586389,0.478875199,0.446431824,0.435484729,0.227274821,0.385967916,0.0945998977,0.02198,0.0675696567,0.166668588,0.0352913481,0.0344842172,0.0476220068,0.0853683968,0.0704297004,0.0370394787,0.222225638,0.149998463,0.106663694,0.379310345,0.0946010318,0.243242133,0.20967609,0.0499974687,0.454538609,0.0481960546,0.103898971,0.0886022368,0.0232486966,0.424659111,0.133334862,0.173914089,0.0506286332,0.0394816672,0.0789491136,0.648654434,0.671231391,0.652168179,0.635135785,0.666666667,0.0281719103,0.0571413061,0.0588222145,0.0588222145,0.0588222145,0.0571413061,0.0895515705,0.0588190484,0.0882330839,0.0588190484,0.0625020801,0.062496582,0.0625020801,0.062496582,0.0615432331,0.062496582,0.641791045,0
TRAIN_0007,1,0.659090909,0.3,0.142857143,1,0.5,0.5,0.37097546,0.323942154,0.571430306,0.467739703,0.63636259,0.614032084,0.635133367,0.37363,0.608115018,0.722226705,0.352944187,0.632189499,0.44047767,0.426831008,0.718316691,0.580248541,0.555558971,0.487500128,0.533328604,0.517241379,0.459464664,0.527021198,0.532255596,0.487500633,0.651509284,0.4457873,0.753245463,0.632914494,0.453486211,0.410965997,0.626666972,0.391300687,0.696194403,0.644733679,0.723683629,0.108109072,0.0274003978,0,0.0540495033,0,0.478871067,0.542858694,0.529411107,0.529411107,0.529411107,0.542858694,0.567163678,0.573531972,0.588238452,0.573531972,0.671869626,0.671876538,0.671869626,0.671876538,0.67692018,0.671876538,0.0597014925,0
TRAIN_0008,0.6,0.318181818,0.22,0.714285714,1,0.5,0.5,0.37097546,0.11267274,0.160710599,0.338709162,0.424241726,0.29824599,0.527036187,0.25275,0.391896874,0.194450529,0.270590884,0.528736848,0.285711327,0.329268694,0.169017084,0.395062135,0.555558971,0.487500128,0.586670585,0.362063448,0.810808072,0.121621066,0.483875146,0.562496836,0.166666667,0.289155364,0.532465669,0.50632714,0.488375652,0.287670445,0.400004587,0.202903781,0.455691497,0.513158648,0.552632742,0.0540604821,0.0684949672,0.0724572695,0.0675678926,0.0933389654,0.295774213,0.4,0.367652811,0.367652811,0.367652811,0.4,0.358206282,0.411765986,0.338235768,0.411765986,0.499994453,0.375001367,0.499994453,0.499994531,0.430769401,0.499994531,0.0746268657,0
TRAIN_0009,0.4,0.522727273,0.52,0.0714285714,1,0.5,0.5,0.419364532,0.0985966753,0.249996964,0.338709162,0.590912231,0.385967916,0.243248386,0.21978,0.662163608,0.486114794,0.294121862,0.49425263,0.42856699,0.256094215,0.450712224,0.518519739,0.506178912,0.587499103,0.440000405,0.224132414,0.540545471,0.243242133,0.870977617,0.249997469,0.469695992,0.216871764,0.532465669,0.632914494,0.337209938,0.246579598,0.426664679,0.391300687,0.620251453,0.631580755,0.565785402,0.121618247,0.136989934,0.130433636,0.0270247516,0.0933389654,0.338032079,0.385711959,0.382349983,0.382349983,0.382349983,0.385711959,0.388060537,0.397053062,0.397054245,0.397053062,0.499994453,0.515624146,0.499994453,0.531242822,0.584616407,0.531242822,0.0895522388,1
